Source,Destination,Length,SequenceID,MessageType,Label
0,2,58,19330,1,0
1,2,68,19330,9,0
1,2,60,22272,0,0
0,2,58,19331,1,0
1,2,68,19331,9,0
1,2,78,43918,11,0
1,2,60,22273,0,0
0,2,58,19332,1,0
1,2,68,19332,9,0
1,2,60,22274,0,0
1,2,78,43919,11,0
1,2,60,22275,0,0
0,2,58,19333,1,0
1,2,68,19333,9,0
1,2,60,22276,0,0
0,2,58,19334,1,0
1,2,68,19334,9,0
1,2,78,43920,11,0
1,2,60,22277,0,0
0,2,58,19335,1,0
1,2,68,19335,9,0
1,2,60,22278,0,0
1,2,78,43921,11,0
1,2,60,22279,0,0
0,2,58,19336,1,0
1,2,68,19336,9,0
0,2,58,19337,1,0
1,2,68,19337,9,0
1,2,60,22280,0,0
0,2,58,19338,1,0
1,2,68,19338,9,0
1,2,78,43922,11,0
1,2,60,22281,0,0
0,2,58,19339,1,0
1,2,68,19339,9,0
1,2,60,22282,0,0
0,2,58,19340,1,0
1,2,68,19340,9,0
1,2,78,43923,11,0
1,2,60,22283,0,0
0,2,58,19341,1,0
1,2,68,19341,9,0
1,2,60,22284,0,0
0,2,58,19342,1,0
1,2,68,19342,9,0
1,2,78,43924,11,0
1,2,60,22285,0,0
0,2,58,19343,1,0
1,2,68,19343,9,0
1,2,60,22286,0,0
0,2,58,19344,1,0
1,2,68,19344,9,0
1,2,78,43925,11,0
1,2,60,22287,0,0
0,2,58,19345,1,0
1,2,68,19345,9,0
1,2,60,22288,0,0
1,2,78,43926,11,0
1,2,60,22289,0,0
0,2,58,19346,1,0
1,2,68,19346,9,0
1,2,60,22290,0,0
0,2,58,19347,1,0
1,2,68,19347,9,0
1,2,78,43927,11,0
1,2,60,22291,0,0
0,2,58,19348,1,0
1,2,68,19348,9,0
1,2,60,22292,0,0
0,2,58,19349,1,0
1,2,68,19349,9,0
1,2,78,43928,11,0
1,2,60,22293,0,0
0,2,58,19350,1,0
1,2,68,19350,9,0
1,2,60,22294,0,0
0,2,58,19351,1,0
1,2,68,19351,9,0
1,2,78,43929,11,0
1,2,60,22295,0,0
0,2,58,19352,1,0
1,2,68,19352,9,0
1,2,60,22296,0,0
0,2,58,19353,1,0
1,2,68,19353,9,0
1,2,78,43930,11,0
1,2,60,22297,0,0
0,2,58,19354,1,0
1,2,68,19354,9,0
1,2,60,22298,0,0
1,2,78,43931,11,0
1,2,60,22299,0,0
0,2,58,19355,1,0
1,2,68,19355,9,0
1,2,60,22300,0,0
0,2,58,19356,1,0
1,2,68,19356,9,0
1,2,78,43932,11,0
1,2,60,22301,0,0
0,2,58,19357,1,0
1,2,68,19357,9,0
1,2,60,22302,0,0
1,2,78,43933,11,0
1,2,60,22303,0,0
0,2,58,19358,1,0
1,2,68,19358,9,0
1,2,60,22304,0,0
0,2,58,19359,1,0
1,2,68,19359,9,0
1,2,78,43934,11,0
1,2,60,22305,0,0
1,2,60,22306,0,0
0,2,58,19360,1,0
1,2,68,19360,9,0
1,2,78,43935,11,0
1,2,60,22307,0,0
0,2,58,19361,1,0
1,2,68,19361,9,0
1,2,60,22308,0,0
0,2,58,19362,1,0
1,2,68,19362,9,0
0,2,58,19363,1,0
1,2,68,19363,9,0
1,2,78,43936,11,0
1,2,60,22309,0,0
0,2,58,19364,1,0
1,2,68,19364,9,0
0,2,58,19365,1,0
1,2,68,19365,9,0
0,2,58,19366,1,0
1,2,68,19366,9,0
1,2,60,22310,0,0
0,2,58,19367,1,0
1,2,68,19367,9,0
1,2,78,43937,11,0
1,2,60,22311,0,0
0,2,58,19368,1,0
1,2,68,19368,9,0
1,2,60,22312,0,0
0,2,58,19369,1,0
1,2,68,19369,9,0
0,2,58,19370,1,0
1,2,68,19370,9,0
1,2,78,43938,11,0
1,2,60,22313,0,0
1,2,60,22314,0,0
0,2,58,19371,1,0
1,2,68,19371,9,0
1,2,78,43939,11,0
1,2,60,22315,0,0
1,2,60,22316,0,0
0,2,58,19372,1,0
1,2,68,19372,9,0
0,2,58,19373,1,0
1,2,68,19373,9,0
1,2,78,43940,11,0
1,2,60,22317,0,0
0,2,58,19374,1,0
1,2,68,19374,9,0
1,2,60,22318,0,0
1,2,78,43941,11,0
1,2,60,22319,0,0
0,2,58,19375,1,0
1,2,68,19375,9,0
1,2,60,22320,0,0
0,2,58,19376,1,0
1,2,68,19376,9,0
0,2,58,19377,1,0
1,2,68,19377,9,0
1,2,78,43942,11,0
1,2,60,22321,0,0
1,2,60,22322,0,0
0,2,58,19378,1,0
1,2,68,19378,9,0
1,2,78,43943,11,0
1,2,60,22323,0,0
1,2,60,22324,0,0
0,2,58,19379,1,0
1,2,68,19379,9,0
1,2,78,43944,11,0
1,2,60,22325,0,0
1,2,60,22326,0,0
0,2,58,19380,1,0
1,2,68,19380,9,0
1,2,78,43945,11,0
1,2,60,22327,0,0
1,2,60,22328,0,0
0,2,58,19381,1,0
1,2,68,19381,9,0
1,2,78,43946,11,0
1,2,60,22329,0,0
0,2,58,19382,1,0
1,2,68,19382,9,0
1,2,60,22330,0,0
0,2,58,19383,1,0
1,2,68,19383,9,0
1,2,78,43947,11,0
1,2,60,22331,0,0
1,2,60,22332,0,0
0,2,58,19384,1,0
1,2,68,19384,9,0
1,2,78,43948,11,0
1,2,60,22333,0,0
0,2,58,19385,1,0
1,2,68,19385,9,0
1,2,60,22334,0,0
0,2,58,19386,1,0
1,2,68,19386,9,0
1,2,78,43949,11,0
1,2,60,22335,0,0
0,2,58,19387,1,0
1,2,68,19387,9,0
0,2,58,19388,1,0
1,2,68,19388,9,0
1,2,60,22336,0,0
0,2,58,19389,1,0
1,2,68,19389,9,0
1,2,78,43950,11,0
1,2,60,22337,0,0
0,2,58,19390,1,0
1,2,68,19390,9,0
0,2,58,19391,1,0
1,2,68,19391,9,0
1,2,60,22338,0,0
1,2,78,43951,11,0
1,2,60,22339,0,0
0,2,58,19392,1,0
1,2,68,19392,9,0
1,2,60,22340,0,0
0,2,58,19393,1,0
1,2,68,19393,9,0
0,2,58,19394,1,0
1,2,68,19394,9,0
1,2,78,43952,11,0
1,2,60,22341,0,0
0,2,58,19395,1,0
1,2,68,19395,9,0
1,2,60,22342,0,0
1,2,78,43953,11,0
1,2,60,22343,0,0
0,2,58,19396,1,0
1,2,68,19396,9,0
1,2,60,22344,0,0
1,2,78,43954,11,0
1,2,60,22345,0,0
0,2,58,19397,1,0
1,2,68,19397,9,0
1,2,60,22346,0,0
0,2,58,19398,1,0
1,2,68,19398,9,0
1,2,78,43955,11,0
1,2,60,22347,0,0
0,2,58,19399,1,0
1,2,68,19399,9,0
1,2,60,22348,0,0
0,2,58,19400,1,0
1,2,68,19400,9,0
0,2,58,19401,1,0
1,2,68,19401,9,0
1,2,78,43956,11,0
1,2,60,22349,0,0
1,2,60,22350,0,0
0,2,58,19402,1,0
1,2,68,19402,9,0
1,2,78,43957,11,0
