"No.","Time","Source","Destination","Protocol","Length","Info"
"1056","14.441677","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1063","14.568273","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1067","14.593686","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1072","14.688264","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1076","14.744671","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1081","14.816190","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1086","14.887665","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1090","14.944305","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1099","15.033680","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1100","15.064291","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1108","15.179672","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1109","15.192258","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1117","15.312274","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1119","15.326664","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1126","15.440273","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1130","15.468665","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1135","15.568291","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1139","15.613685","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1144","15.688256","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1149","15.757683","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1155","15.816328","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1163","15.902681","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1164","15.944395","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1172","16.046848","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1173","16.064285","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1181","16.191677","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1182","16.192280","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1190","16.312229","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1194","16.339673","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1199","16.440252","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1203","16.486684","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1208","16.568273","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1212","16.631671","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1217","16.689568","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1225","16.776670","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1226","16.816258","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"1234","16.927691","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
